shapeid,x,y
4,-87.627401,41.869374
,,
4,-87.627399,41.869237
,,
4,-87.627384,41.868883
,,
4,-87.627375,41.868663
,,
4,-87.627359,41.867991
,,
4,-87.62738,41.867825
,,
4,-87.627427,41.867475
,,
4,-87.627635,41.867473
,,
4,-87.628206,41.867471
,,
4,-87.628259,41.86747
,,
4,-87.628467,41.867469
,,
4,-87.628633,41.867468
,,
4,-87.628703,41.867468
,,
4,-87.629132,41.86746
,,
4,-87.629299,41.867458
,,
4,-87.629327,41.867457
,,
4,-87.629413,41.867455
,,
4,-87.629442,41.867455
,,
4,-87.62964,41.867449
,,
4,-87.630231,41.867433
,,
4,-87.630237,41.867432
,,
4,-87.630437,41.867432
,,
4,-87.630659,41.867431
,,
4,-87.631328,41.867427
,,
4,-87.631552,41.867427
,,
4,-87.631844,41.867423
,,
4,-87.63216,41.86742
,,
4,-87.63272,41.867405
,,
4,-87.633012,41.867398
,,
4,-87.633116,41.867395
,,
4,-87.633247,41.867392
,,
4,-87.633431,41.867388
,,
4,-87.633536,41.867387
,,
4,-87.633786,41.867382
,,
4,-87.633957,41.867379
,,
4,-87.634378,41.867371
,,
4,-87.634539,41.867367
,,
4,-87.634729,41.867364
,,
4,-87.63479,41.867364
,,
4,-87.63484,41.867816
,,
4,-87.634844,41.867851
,,
4,-87.635055,41.869166
,,
4,-87.635061,41.8692
,,
4,-87.635118,41.869618
,,
4,-87.635184,41.870099
,,
4,-87.635239,41.870499
,,
4,-87.635397,41.871542
,,
4,-87.635436,41.871799
,,
4,-87.635489,41.87202
,,
4,-87.635604,41.872504
,,
4,-87.635731,41.873034
,,
4,-87.635775,41.873261
,,
4,-87.635926,41.873962
,,
4,-87.636023,41.874407
,,
4,-87.636035,41.874448
,,
4,-87.635918,41.874449
,,
4,-87.635866,41.87445
,,
4,-87.635697,41.874452
,,
4,-87.635658,41.874453
,,
4,-87.635568,41.874454
,,
4,-87.635452,41.874456
,,
4,-87.635378,41.874456
,,
4,-87.635158,41.874459
,,
4,-87.635085,41.87446
,,
4,-87.634793,41.874463
,,
4,-87.634703,41.874465
,,
4,-87.634317,41.874489
,,
4,-87.63392,41.874481
,,
4,-87.633814,41.874479
,,
4,-87.633629,41.874481
,,
4,-87.633426,41.874483
,,
4,-87.633376,41.874484
,,
4,-87.633122,41.874488
,,
5,-87.656769,41.869915
,,
5,-87.656784,41.870273
,,
5,-87.656791,41.870452
,,
5,-87.656802,41.870932
,,
5,-87.65681,41.87122
,,
5,-87.656815,41.871312
,,
5,-87.656816,41.87137
,,
5,-87.656822,41.871547
,,
5,-87.656824,41.871606
,,
5,-87.656825,41.871651
,,
5,-87.656826,41.871669
,,
5,-87.656833,41.871706
,,
5,-87.656847,41.871787
,,
5,-87.656856,41.871833
,,
5,-87.65687,41.871916
,,
5,-87.656871,41.871917
,,
5,-87.65688,41.872168
,,
5,-87.656884,41.872253
,,
5,-87.656887,41.872395
,,
5,-87.656896,41.872821
,,
5,-87.6569,41.872963
,,
